id,from,at,to,open,close,min,max,volume,SMA,RSI,Sinal
2520019,1722020220,1722020280000000000,1722020280,1.08565,1.085695,1.08565,1.085695,172,1.0856925,30.612244897972133,Neutro
2520020,1722020280,1722020340000000000,1722020340,1.0857,1.0857,1.08562,1.08571,195,1.085689,29.896907216503337,Neutro
2520021,1722020340,1722020400008087548,1722020400,1.085695,1.085675,1.085655,1.085715,292,1.0856795,35.36585365853064,Neutro
2520022,1722020400,1722020460001299463,1722020460,1.08567,1.08562,1.085605,1.085695,175,1.0856685000000001,39.189189189184326,Neutro
2520023,1722020460,1722020520000000000,1722020520,1.085605,1.08565,1.08555,1.08565,174,1.0856615,37.50000000002313,Neutro
2520024,1722020520,1722020580000000000,1722020580,1.08565,1.08565,1.085555,1.085655,172,1.0856584999999999,38.02816901411093,Neutro
2520025,1722020580,1722020640000000000,1722020640,1.085655,1.08567,1.085625,1.085695,153,1.085661,35.29411764707035,Neutro
2520026,1722020640,1722020700000000000,1722020700,1.085665,1.085655,1.085635,1.085685,193,1.0856625000000002,38.09523809524145,Neutro
2520027,1722020700,1722020760000000000,1722020760,1.085655,1.085665,1.08562,1.085675,141,1.0856629999999998,41.269841269862525,Neutro
2520028,1722020760,1722020820002736406,1722020820,1.08566,1.08567,1.08562,1.0857,135,1.085665,48.21428571427438,Neutro
2520029,1722020820,1722020880000000000,1722020880,1.085665,1.08573,1.08565,1.08574,147,1.0856685,63.93442622951655,Neutro
2520030,1722020880,1722020940000000000,1722020940,1.08573,1.08579,1.08573,1.08581,183,1.0856775,70.83333333333847,Venda
2520031,1722020940,1722021000000000000,1722021000,1.0858,1.08579,1.08577,1.085805,117,1.085689,69.11764705881777,Neutro
2520032,1722021000,1722021060000000000,1722021060,1.08579,1.08583,1.08576,1.08585,176,1.08571,74.32432432433487,Venda
2520033,1722021060,1722021120000000000,1722021120,1.085835,1.08584,1.085825,1.0859,138,1.0857290000000002,71.64179104476821,Venda
2520034,1722021120,1722021180000000000,1722021180,1.08583,1.085835,1.085825,1.085895,151,1.0857475,70.14925373137098,Venda
2520035,1722021180,1722021240000000000,1722021240,1.085835,1.08587,1.085825,1.08589,110,1.0857675,78.26086956527895,Venda
